Date,Open,High,Low,Close,Adj Close,Volume
2023-07-10,2611.949951,2620.750000,2581.050049,2595.850098,2584.943115,280989
2023-07-11,2595.949951,2688.000000,2586.000000,2638.850098,2627.762451,633719
2023-07-12,2579.050049,2627.699951,2551.500000,2622.449951,2611.431152,812161
2023-07-13,2622.449951,2655.000000,2608.300049,2618.199951,2607.198975,325809
2023-07-14,2617.899902,2628.300049,2595.000000,2623.500000,2612.476807,297136
2023-07-17,2600.000000,2649.000000,2600.000000,2639.600098,2628.509277,231762
2023-07-18,2639.600098,2666.250000,2623.550049,2658.100098,2646.931641,371797
2023-07-19,2666.500000,2691.699951,2643.300049,2685.949951,2674.664307,401289
2023-07-20,2695.949951,2695.949951,2667.399902,2676.600098,2665.353760,213260
2023-07-21,2663.000000,2685.000000,2652.649902,2662.800049,2651.611816,211117
2023-07-24,2655.100098,2665.000000,2636.149902,2651.600098,2640.458740,255346
2023-07-25,2648.000000,2648.000000,2587.800049,2607.399902,2596.444336,218299
2023-07-26,2611.949951,2629.750000,2593.050049,2618.000000,2607.000000,149847
2023-07-27,2613.000000,2628.350098,2596.050049,2602.750000,2602.750000,141783
2023-07-28,2595.000000,2628.399902,2587.149902,2615.850098,2615.850098,336411
2023-07-31,2615.850098,2626.850098,2590.199951,2614.949951,2614.949951,221454
2023-08-01,2615.000000,2640.800049,2602.050049,2634.800049,2634.800049,182792
2023-08-02,2639.899902,2643.949951,2608.850098,2626.750000,2626.750000,182882
2023-08-03,2626.949951,2636.550049,2570.050049,2584.500000,2584.500000,206189
2023-08-04,2590.050049,2618.649902,2584.550049,2609.800049,2609.800049,176758
2023-08-07,2609.800049,2623.600098,2600.000000,2610.600098,2610.600098,132591
2023-08-08,2611.050049,2628.000000,2594.800049,2623.800049,2623.800049,294364
2023-08-09,2619.899902,2625.000000,2595.100098,2603.600098,2603.600098,244304
2023-08-10,2619.000000,2619.000000,2510.550049,2520.100098,2520.100098,747380
2023-08-11,2550.050049,2552.000000,2517.000000,2544.649902,2544.649902,394433
2023-08-14,2544.899902,2545.000000,2510.600098,2537.399902,2537.399902,149281
2023-08-16,2535.000000,2557.449951,2515.000000,2539.649902,2539.649902,213059
2023-08-17,2540.449951,2550.000000,2499.000000,2503.149902,2503.149902,252328
2023-08-18,2503.199951,2513.000000,2470.000000,2477.600098,2477.600098,345376
2023-08-21,2477.449951,2493.250000,2472.300049,2486.750000,2486.750000,272682
2023-08-22,2499.000000,2499.800049,2482.000000,2494.300049,2494.300049,273033
2023-08-23,2510.000000,2582.500000,2500.000000,2506.949951,2506.949951,879174
2023-08-24,2525.050049,2544.000000,2515.550049,2521.600098,2521.600098,565703
2023-08-25,2515.050049,2536.899902,2508.800049,2527.899902,2527.899902,431499
2023-08-28,2531.899902,2539.600098,2510.050049,2514.100098,2514.100098,342150
2023-08-29,2523.949951,2588.699951,2516.449951,2581.949951,2581.949951,566393
2023-08-30,2580.000000,2589.949951,2561.449951,2574.850098,2574.850098,389197
2023-08-31,2581.000000,2584.850098,2494.949951,2515.000000,2515.000000,1248501
2023-09-01,2524.949951,2533.550049,2486.100098,2498.250000,2498.250000,468711
2023-09-04,2499.000000,2509.949951,2467.550049,2474.850098,2474.850098,481518
2023-09-05,2488.850098,2507.000000,2477.399902,2491.300049,2491.300049,360316
2023-09-06,2485.000000,2508.000000,2484.000000,2502.399902,2502.399902,258925
2023-09-07,2510.000000,2516.000000,2494.100098,2507.399902,2507.399902,210905
2023-09-08,2509.000000,2517.949951,2491.699951,2505.050049,2505.050049,586237
2023-09-11,2519.000000,2528.000000,2500.000000,2523.750000,2523.750000,419624
2023-09-12,2530.000000,2530.000000,2480.000000,2487.250000,2487.250000,587884
2023-09-13,2486.000000,2510.600098,2456.000000,2488.550049,2488.550049,395453
2023-09-14,2498.000000,2498.000000,2467.250000,2483.199951,2483.199951,548954
2023-09-15,2483.050049,2505.000000,2473.100098,2481.500000,2481.500000,504764
2023-09-18,2481.500000,2513.149902,2471.000000,2508.149902,2508.149902,277306
2023-09-20,2511.949951,2517.949951,2487.750000,2499.199951,2499.199951,337541
2023-09-21,2491.100098,2518.399902,2486.000000,2512.850098,2512.850098,279691
2023-09-22,2518.850098,2520.500000,2493.000000,2517.699951,2517.699951,348380
2023-09-25,2517.000000,2519.800049,2477.550049,2494.500000,2494.500000,219117
2023-09-26,2488.199951,2506.000000,2488.199951,2501.800049,2501.800049,128154
2023-09-27,2495.000000,2503.750000,2480.300049,2499.500000,2499.500000,178583
2023-09-28,2499.500000,2503.949951,2414.050049,2421.350098,2421.350098,475791
2023-09-29,2440.000000,2452.399902,2429.000000,2439.500000,2439.500000,123353
2023-10-03,2439.500000,2447.899902,2412.550049,2425.399902,2425.399902,382674
2023-10-04,2421.949951,2422.949951,2385.000000,2406.399902,2406.399902,378833
2023-10-05,2435.600098,2438.300049,2420.000000,2429.199951,2429.199951,231636
2023-10-06,2443.000000,2456.899902,2429.199951,2454.350098,2454.350098,242397
2023-10-09,2430.100098,2438.850098,2410.100098,2425.000000,2425.000000,370569
2023-10-10,2430.000000,2456.000000,2425.000000,2450.100098,2450.100098,288124
2023-10-11,2456.000000,2492.000000,2455.000000,2487.649902,2487.649902,449170
2023-10-12,2487.649902,2497.500000,2472.800049,2481.899902,2481.899902,124308
2023-10-13,2480.000000,2484.199951,2454.399902,2460.050049,2460.050049,146168
2023-10-16,2460.000000,2463.250000,2418.750000,2434.600098,2434.600098,412888
2023-10-17,2441.550049,2444.149902,2419.550049,2427.350098,2427.350098,299608
2023-10-18,2420.100098,2434.949951,2404.500000,2407.250000,2407.250000,156214
2023-10-19,2400.000000,2405.949951,2370.000000,2374.850098,2374.850098,324864
2023-10-20,2374.850098,2385.949951,2355.000000,2373.199951,2373.199951,277143
2023-10-23,2373.199951,2382.350098,2345.000000,2351.000000,2351.000000,147967
2023-10-25,2360.500000,2363.399902,2321.300049,2326.300049,2326.300049,223852
2023-10-26,2321.000000,2322.000000,2292.550049,2295.399902,2295.399902,280265
2023-10-27,2302.850098,2334.399902,2296.100098,2316.800049,2316.800049,422263
2023-10-30,2330.000000,2330.000000,2299.000000,2312.149902,2312.149902,311774
2023-10-31,2364.000000,2478.000000,2350.350098,2458.000000,2458.000000,2314742
2023-11-01,2452.000000,2465.000000,2401.649902,2406.350098,2406.350098,565676
2023-11-02,2430.000000,2436.350098,2395.250000,2428.300049,2428.300049,237880
2023-11-03,2437.800049,2459.000000,2414.350098,2455.500000,2455.500000,159963
2023-11-06,2470.000000,2471.449951,2420.949951,2433.699951,2433.699951,325475
2023-11-07,2446.949951,2446.949951,2421.000000,2438.300049,2438.300049,178637
2023-11-08,2464.000000,2488.750000,2437.250000,2473.149902,2473.149902,350680
2023-11-09,2465.100098,2500.000000,2450.500000,2457.550049,2457.550049,673878
2023-11-10,2457.550049,2470.000000,2418.800049,2432.350098,2432.350098,326200
2023-11-13,2444.800049,2447.850098,2421.899902,2428.600098,2428.600098,181803
2023-11-15,2429.000000,2469.649902,2420.850098,2460.300049,2460.300049,405307
2023-11-16,2460.500000,2466.149902,2446.050049,2459.100098,2459.100098,175004
2023-11-17,2468.850098,2534.300049,2465.050049,2510.300049,2510.300049,786838
2023-11-20,2510.300049,2520.000000,2476.250000,2483.550049,2483.550049,208065
2023-11-21,2484.000000,2504.750000,2471.649902,2495.600098,2495.600098,225993
2023-11-22,2495.550049,2507.800049,2478.050049,2488.350098,2488.350098,143168
2023-11-23,2488.350098,2516.000000,2482.949951,2509.300049,2509.300049,253442
2023-11-24,2515.899902,2516.449951,2482.000000,2504.100098,2504.100098,247748
2023-11-28,2491.000000,2514.300049,2481.750000,2488.050049,2488.050049,229294
2023-11-29,2488.949951,2515.899902,2485.000000,2503.600098,2503.600098,385084
2023-11-30,2503.600098,2563.600098,2487.000000,2552.350098,2552.350098,894422
2023-12-01,2570.000000,2576.149902,2544.050049,2562.149902,2562.149902,300500
2023-12-04,2576.000000,2582.000000,2546.000000,2553.449951,2553.449951,356930
2023-12-05,2555.000000,2588.399902,2545.649902,2571.000000,2571.000000,364575
2023-12-06,2589.949951,2616.199951,2570.000000,2576.149902,2576.149902,439281
2023-12-07,2590.000000,2628.000000,2583.050049,2588.850098,2588.850098,418572
2023-12-08,2607.000000,2607.000000,2545.000000,2561.649902,2561.649902,215930
2023-12-11,2561.649902,2567.800049,2535.699951,2545.550049,2545.550049,252758
2023-12-12,2546.050049,2614.800049,2546.050049,2607.500000,2607.500000,705500
2023-12-13,2621.350098,2649.000000,2576.000000,2623.250000,2623.250000,631170
2023-12-14,2633.350098,2638.000000,2600.000000,2634.300049,2634.300049,451306
2023-12-15,2634.300049,2656.949951,2623.949951,2651.050049,2651.050049,515599
2023-12-18,2651.000000,2666.899902,2643.000000,2647.500000,2647.500000,464591
2023-12-19,2647.500000,2661.000000,2618.899902,2648.750000,2648.750000,389801
2023-12-20,2662.000000,2671.000000,2568.850098,2584.199951,2584.199951,597865
2023-12-21,2565.100098,2622.000000,2547.850098,2616.100098,2616.100098,201946
2023-12-22,2616.149902,2649.850098,2612.149902,2643.449951,2643.449951,237427
