Date,Close,Volume,Open,High,Low,MA,RSI,Upper,Lower,EMA12,EMA26,MACD,Combined_Indicator,Signal,Actual_Position
2020-04-02,61.2325,165933960,60.085,61.2875,59.225,67.46285714285715,24.669717640963682,74.4226378411661,60.5030764445482,66.21614813722165,69.76303361251321,-3.5468854752915604,-1.0679928394765918,S,S
2020-04-01,60.2275,176218560,61.625,62.18,59.7825,66.83446428571429,23.36647123799814,74.30382177147793,59.365106799950645,65.29481765457217,69.05669778936408,-3.761880134791909,-1.1246938733781375,S,L
2020-03-31,63.5725,197002000,63.9,65.6225,63.0,66.58303571428571,29.90052662375659,74.02107720718784,59.144994221383584,65.02984570771491,68.65046091607785,-3.620615208362935,-0.9405855481078763,S,L
2020-03-30,63.7025,167976440,62.685,63.88,62.35,66.1880357142857,27.22148541114059,73.72442122586097,58.65165020271044,64.82563867575877,68.28394529266468,-3.458306616905915,-1.0094430001199632,S,S
2020-03-27,61.935,204216600,63.1875,63.9675,61.7625,65.5619642857143,23.256014486505137,73.22801714969145,57.89591142173713,64.38092503333434,67.8136530487636,-3.4327280154292623,-1.1249210743971423,S,L
2020-03-26,64.61,252560680,61.63,64.67,61.59,65.0575,26.0668261439926,72.5258675204952,57.58913247950481,64.41616733589828,67.57634541552186,-3.160178079623577,-1.0385095068090058,S,S
2020-03-25,61.38,303602040,62.6875,64.5625,61.075,64.36267857142857,24.08556149732621,72.05864013630337,56.66671700655378,63.949064668837,67.11735686622394,-3.16829219738694,-1.102489566318292,S,L
2020-03-24,61.72,287531080,59.09,61.9225,58.575,63.64535714285715,23.61141363537355,71.42879730282625,55.86191698288805,63.60613164286208,66.71755265391106,-3.111421011048975,-1.121705941849733,S,S
2020-03-23,56.0925,336752840,57.02,57.1249,53.1525,62.7725,22.207047254848405,71.60476106162304,53.940238938376964,62.45018831319099,65.9305117165843,-3.4803234033933137,-1.193224539324256,S,L
2020-03-20,57.31,401693200,61.795,62.9575,57.0,62.08053571428571,24.774715080837538,71.3321903884866,52.82888104008482,61.65939011116161,65.29195529313361,-3.632565181971998,-1.1410372278692134,S,L
